Interpolation Weights at U-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 
0000068  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   102    9376    9377  101.00000  101.33333  102.00000    54    9551   53.50000   54.16667   54.50000
0000069  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   102    9376    9377  101.00000  101.66667  102.00000    54    9551   53.50000   54.16667   54.50000
0000070  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   103    9377    9378  102.00000  102.00000  103.00000    54    9552   53.50000   54.16667   54.50000
0000071  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   103    9377    9378  102.00000  102.33333  103.00000    54    9552   53.50000   54.16667   54.50000
0000072  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   103    9377    9378  102.00000  102.66667  103.00000    54    9552   53.50000   54.16667   54.50000
0000073  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   104    9378    9379  103.00000  103.00000  104.00000    54    9553   53.50000   54.16667   54.50000
0000074  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   104    9378    9379  103.00000  103.33333  104.00000    54    9553   53.50000   54.16667   54.50000
0000075  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   104    9378    9379  103.00000  103.66667  104.00000    54    9553   53.50000   54.16667   54.50000
0000076  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   105    9379    9380  104.00000  104.00000  105.00000    54    9554   53.50000   54.16667   54.50000
0000077  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   105    9379    9380  104.00000  104.33333  105.00000    54    9554   53.50000   54.16667   54.50000
0000078  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   105    9379    9380  104.00000  104.66667  105.00000    54    9554   53.50000   54.16667   54.50000
0000079  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   106    9380    9381  105.00000  105.00000  106.00000    54    9555   53.50000   54.16667   54.50000
0000080  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   106    9380    9381  105.00000  105.33333  106.00000    54    9555   53.50000   54.16667   54.50000
0000081  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   106    9380    9381  105.00000  105.66667  106.00000    54    9555   53.50000   54.16667   54.50000
0000082  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   107    9381    9382  106.00000  106.00000  107.00000    54    9556   53.50000   54.16667   54.50000
0000083  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   107    9381    9382  106.00000  106.33333  107.00000    54    9556   53.50000   54.16667   54.50000
0000084  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   107    9381    9382  106.00000  106.66667  107.00000    54    9556   53.50000   54.16667   54.50000
0000085  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   108    9382    9383  107.00000  107.00000  108.00000    54    9557   53.50000   54.16667   54.50000
0000086  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   108    9382    9383  107.00000  107.33333  108.00000    54    9557   53.50000   54.16667   54.50000
0000087  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   108    9382    9383  107.00000  107.66667  108.00000    54    9557   53.50000   54.16667   54.50000
0000088  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   109    9383    9384  108.00000  108.00000  109.00000    54    9558   53.50000   54.16667   54.50000
0000089  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   109    9383    9384  108.00000  108.33333  109.00000    54    9558   53.50000   54.16667   54.50000
0000090  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   109    9383    9384  108.00000  108.66667  109.00000    54    9558   53.50000   54.16667   54.50000
0000091  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   110    9384    9385  109.00000  109.00000  110.00000    54    9559   53.50000   54.16667   54.50000
0000092  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   110    9384    9385  109.00000  109.33333  110.00000    54    9559   53.50000   54.16667   54.50000
0000093  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   110    9384    9385  109.00000  109.66667  110.00000    54    9559   53.50000   54.16667   54.50000
